weird	1883	en
law	1881	en
worried	1877	en
없네	1876	ko
report	1871	en
끝났어	1866	ko
있을거야	1864	ko
goodbye	1863	en
머리를	1859	ko
생각하지	1859	ko
뭐라고요	1859	ko
missing	1859	en
힘든	1856	ko
보게	1856	ko
가게	1856	ko
choice	1856	en
말해봐	1854	ko
happening	1852	en
chief	1850	en
wedding	1850	en
strange	1848	en
general	1847	en
상황이	1846	ko
pain	1846	en
kidding	1845	en
줘요	1844	ko
만큼	1844	ko
decided	1843	en
pass	1842	en
tired	1840	en
했지만	1839	ko
class	1839	en
같은데요	1836	ko
이름	1834	ko
엄마를	1831	ko
전화를	1831	ko
officer	1827	en
어쩔	1826	ko
kept	1825	en
있니	1824	ko
번째	1824	ko
할까	1824	ko
얘길	1824	ko
wake	1822	en
찾는	1821	ko
선생님이	1819	ko
worse	1817	en
진짜로	1816	ko
busy	1816	en
일이에요	1814	ko
건지	1814	ko
가족을	1811	ko
할지	1811	ko
중이야	1808	ko
믿지	1808	ko
닥쳐	1808	ko
여기로	1803	ko
mistake	1802	en
저건	1798	ko
kiss	1798	en
주고	1796	ko
멀리	1796	ko
어이	1796	ko
court	1793	en
building	1791	en
finish	1786	en
during	1786	en
age	1785	en
ship	1784	en
거짓말	1781	ko
caught	1780	en
marry	1777	en
meant	1777	en
sell	1774	en
사실은	1773	ko
받을	1773	ko
dark	1773	en
watching	1772	en
system	1771	en
그러고	1768	ko
겁니까	1766	ko
먹을	1766	ko
suppose	1766	en
그치만	1763	ko
너에게	1763	ko
들었어요	1763	ko
하기	1761	ko
오빠	1761	ko
오고	1761	ko
있을까	1758	ko
어린	1758	ko
evidence	1758	en
movie	1757	en
ride	1757	en
통해	1756	ko
completely	1750	en
아닌데	1748	ko
조금만	1748	ko
mouth	1748	en
맞는	1746	ko
totally	1742	en
차에	1741	ko
여자는	1741	ko
보러	1741	ko
손에	1741	ko
모르지	1738	ko
가까이	1736	ko
테니	1736	ko
birthday	1734	en
되죠	1733	ko
forgive	1729	en
born	1729	en
점점	1728	ko
imagine	1728	en
information	1727	en
이야기를	1726	ko
물론이죠	1726	ko
학교	1721	ko
주는	1721	ko
instead	1721	en
definitely	1719	en
security	1719	en
아가씨	1718	ko
certainly	1717	en
film	1717	en
먹어	1713	ko
것에	1713	ko
크게	1711	ko
이유는	1711	ko
month	1711	en
lying	1709	en
unless	1706	en
train	1706	en
seven	1706	en
wear	1706	en
clothes	1705	en
michael	1701	en
모두들	1700	ko
hotel	1699	en
죽인	1698	ko
christmas	1698	en
attack	1697	en
hasn	1694	en
알죠	1690	ko
기억	1690	ko
경찰	1690	ko
round	1684	en
제이	1683	ko
그래야	1683	ko
목숨을	1683	ko
있을까요	1680	ko
아니지만	1678	ko
했다	1678	ko
많아	1675	ko
떨어져	1675	ko
expect	1673	en
sing	1673	en
terrible	1671	en
george	1669	en
사람이야	1665	ko
다시는	1663	ko
거잖아	1663	ko
bag	1663	en
history	1662	en
애들이	1660	ko
애를	1660	ko
말이다	1655	ko
없다는	1655	ko
blue	1655	en
near	1654	en
만들	1653	ko
오면	1650	ko
할게요	1650	ko
아기	1650	ko
broke	1650	en
영화	1648	ko
가족	1648	ko
station	1648	en
seriously	1647	en
forever	1647	en
david	1647	en
frank	1646	en
찾았어	1645	ko
except	1645	en
특히	1643	ko
아들을	1643	ko
제발요	1643	ko
꿈을	1643	ko
thinks	1643	en
message	1642	en
entire	1641	en
joe	1641	en
세상을	1640	ko
놈을	1638	ko
아니었어	1638	ko
마이크	1638	ko
그리	1638	ko
무엇을	1635	ko
